Trace;L21S_VDD2L_MEM_ENERGY;UFS(Disk)_ENERGY;S12S_VDD_AUR_ENERGY;Camera_ENERGY;GPU3D_ENERGY;Sensor_ENERGY;Memory_ENERGY;Memory_ENERGY;Display_ENERGY;GPS_ENERGY;GPU_ENERGY;WLANBT_ENERGY;L22M_DISP_ENERGY;S6M_LLDO1_ENERGY;S8M_LLDO2_ENERGY;S9M_VDD_CPUCL0_M_ENERGY;CPU_BIG_ENERGY;CPU_LITTLE_ENERGY;CPU_MID_ENERGY;INFRASTRUCTURE_ENERGY;CELLULAR_ENERGY;CELLULAR_ENERGY;INFRASTRUCTURE_ENERGY;TPU_ENERGY;CPU_LITTLE_FREQ;CPU_MID_FREQ;CPU_BIG_FREQ;GPU0_FREQ;GPU_1FREQ;GPU_MEM_AVG;BATTERY_DISCHARGE
trace-shiba-AP3A.241005.015-2024-11-13-17-05-30;40137.0;323580.0;70606.0;183224.0;85351.0;204871.0;96287.0;656840.0;3542483.0;8217.0;148763.0;71050.0;985866.0;2480264.0;1009363.0;303274.0;34812102.0;3348829.0;1229183.0;905037.0;181945.0;0.0;303395.0;0.0;804384;1282098;2825999;39242;30493;333288806;-4000.0
trace-shiba-AP3A.241005.015-2024-11-19-14-00-02;24039.0;252215.0;52855.0;126268.0;43922.0;201686.0;262607.0;1119581.0;7970377.0;5837.0;91155.0;274364.0;638934.0;2200913.0;440379.0;276151.0;36911626.0;5689046.0;667904.0;3226712.0;187474.0;0.0;453111.0;0.0;648280;1120036;2882595;15618;13267;394759391;-4000.0
