Trace;L21S_VDD2L_MEM_ENERGY_AVG_UWS;UFS(Disk)_ENERGY_AVG_UWS;S12S_VDD_AUR_ENERGY_AVG_UWS;Camera_ENERGY_AVG_UWS;GPU3D_ENERGY_AVG_UWS;Sensor_ENERGY_AVG_UWS;Memory_ENERGY_AVG_UWS;Memory_ENERGY_AVG_UWS;Display_ENERGY_AVG_UWS;GPS_ENERGY_AVG_UWS;GPU_ENERGY_AVG_UWS;WLANBT_ENERGY_AVG_UWS;L22M_DISP_ENERGY_AVG_UWS;S6M_LLDO1_ENERGY_AVG_UWS;S8M_LLDO2_ENERGY_AVG_UWS;S9M_VDD_CPUCL0_M_ENERGY_AVG_UWS;CPU_BIG_ENERGY_AVG_UWS;CPU_LITTLE_ENERGY_AVG_UWS;CPU_MID_ENERGY_AVG_UWS;INFRASTRUCTURE_ENERGY_AVG_UWS;CELLULAR_ENERGY_AVG_UWS;CELLULAR_ENERGY_AVG_UWS;INFRASTRUCTURE_ENERGY_AVG_UWS;TPU_ENERGY_AVG_UWS;CPU_LITTLE_FREQ_KHz;CPU_MID_FREQ_KHz;CPU_BIG_FREQ_KHz;GPU0_FREQ;GPU_1FREQ;GPU_MEM_AVG;BATTERY_DISCHARGE_TOTAL_UA;BATTERY_DISCHARGE_RATE_UAS;TOTAL_DATA_WIFI_BYTES;AVG_SOC_TEMP;DIFF_SOC_TEMP;BATTERY__PERCENT;L21S_VDD2L_MEM_ENERGY_UW;UFS(Disk)_ENERGY_UW;S12S_VDD_AUR_ENERGY_UW;Camera_ENERGY_UW;GPU3D_ENERGY_UW;Sensor_ENERGY_UW;Memory_ENERGY_UW;Memory_ENERGY_UW;Display_ENERGY_UW;GPS_ENERGY_UW;GPU_ENERGY_UW;WLANBT_ENERGY_UW;L22M_DISP_ENERGY_UW;S6M_LLDO1_ENERGY_UW;S8M_LLDO2_ENERGY_UW;S9M_VDD_CPUCL0_M_ENERGY_UW;CPU_BIG_ENERGY_UW;CPU_LITTLE_ENERGY_UW;CPU_MID_ENERGY_UW;INFRASTRUCTURE_ENERGY_UW;CELLULAR_ENERGY_UW;CELLULAR_ENERGY_UW;INFRASTRUCTURE_ENERGY_UW;TPU_ENERGY_UW
trace-shiba-AP3A.241005.015-2024-11-19-14-00-02;1848.3080211214483;17907.088257480515;4078.1357807392505;8607.05649149275;2752.69331992289;15507.546978459475;20132.927080714107;84044.35596345655;571639.0442544632;450.16654094375997;5003.9271645293775;21295.338613695414;48875.20286696286;169039.0777936122;33889.6293067315;21004.272864447983;2869417.805096823;429203.79084583785;45039.916505993795;245977.53206471624;14305.789839885992;0;34320.64355771649;0;725954;639361;2829526;15618;13267;394759391;-4000.0;1412135.1666666667;11345;33486.0;1002;23.0;24039.0;252215.0;52855.0;126268.0;43922.0;201686.0;262607.0;1119581.0;7970377.0;5837.0;91155.0;274364.0;638934.0;2200913.0;440379.0;276151.0;36911626.0;5689046.0;667904.0;3226712.0;187474.0;0.0;453111.0;0.0
trace-shiba-AP3A.241005.015-2024-11-13-17-05-30;1978.0141033891034;15661.629504504504;3532.1073037323035;8624.797511797511;3966.2401866151868;10165.165326040325;4744.654118404118;31654.775793650795;174968.8734984985;412.3337623337623;6878.932325182325;3421.2774024024025;49344.36671670598;122045.86768174995;50585.777718207166;15010.089052112375;1674436.1479734078;154390.67595968262;48420.04637572378;43515.96654514261;9058.166738151405;0;14786.678265065408;0;678132;651824;1604549;39242;30493;333288806;-4000.0;996312.3;56;26869.333333333332;468;39.0;40137.0;323580.0;70606.0;183224.0;85351.0;204871.0;96287.0;656840.0;3542483.0;8217.0;148763.0;71050.0;985866.0;2480264.0;1009363.0;303274.0;34812102.0;3348829.0;1229183.0;905037.0;181945.0;0.0;303395.0;0.0
